no,Nama Perusahaan,Alamat,Telepon,website,Komoditi,Bidang Usaha
5253,"3m Indonesia, PT","Jl. Jend Sudirman Kav.25 Plaza Dm Lt.5 Karet-setia Budi, Jakarta Selatan, DKI Jakarta",02178832172,www.3m.com,"Wadding Of Cotton M-m-f Of Oth Wrapped Cigarette T
Self-adhesive Plate,sheet,film,foil,tape","Wadding of cotton m-m-f of oth wrapped cigarette t
Self-adhesive Plate,sheet,film,foil,tape"
5254,7seven,"Jl. Lingkar Pecangaan Rt 010 Rw 002, Jepara, Jawa Tengah",02917510011,,"Oth Wooden Furniture,oth Than Fume Cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material","Oth wooden furniture,oth than fume cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material"
5255,"8 Jaya, Tk.","Terminal Kefa, Belu, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti
Other Toys Or Parts
Refri-frez,fitt With Separate External","Females blouses/shirts/shirt blouses of oth texti
Other Toys Or Parts
Refri-frez,fitt With Separate External"
5256,"9 Jaya, Tk.","Terminal - Kefa Ttu, Timor Tengah Utara, Nusa Tenggara Timur",,,"Sparkling Mineral Waters And Aerated Waters, Flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,","Sparkling mineral waters and aerated waters, flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,"
5257,"A & A Enterprise Resources, CV","Jl. Teuku Umar 2 Rt 001 Rw.003 Kemayoran, Jakarta Pusat, DKI Jakarta",,,"Oth Pasta, Oth Instant Noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps","Oth pasta, oth instant noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps"
5258,"A & One Precision Engineering, PT","Lot Sd-62, Bie Lobam, Pulau Bintan, Bintan, Kepulauan Riau",0770696190,www.a-oneprecision.com,"Other Mounting ; Oth Than Of A Kind Suitable For S
Hasps
Oth Base Metal Mountings, Fitting & Similar","Other mounting ; oth than of a kind suitable for s
Hasps
Oth Base Metal Mountings, Fitting & Similar"
5259,"A & P Industry Indonesia, PT","Jl. Jababeka Vi Blk J No.5a Kaw.industri Jababeka Cikarang Utara, Bekasi, Jawa Barat",02189836134,,Oth Parts & Acces Suitable For Machines Other Head,Oth parts & acces suitable for machines other head
5260,A Amin Furniture,"Ds. Mambak Rt.03/04, Jepara, Jawa Tengah",02914270220,www.aminfurniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar","Oth wooden furniture,oth than fume cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar"
5261,"A Class, CV","Jl. Parang Parung Ii No. I Rt. 03 / Vi Sondokan, Surakarta, Jawa Tengah",0271735092,www.aclass-furniture.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar
Oth Wooden Furniture,oth Than Fume Cupboard","Other furniture of cane, osier, bamboo or similar
Oth Wooden Furniture,oth Than Fume Cupboard"
5262,"A F R A, CV","Btn Surya Graha Lestari, Blok N/2, Desa. Dauh Peken, Tabanan, Bali",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
5263,"A L A A, PT","Jl. Dharmahusada Mas Blok Ad 09, Surabaya, Jawa Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce","Oth sugar confectionery,not cont.cocoa, oth soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce"
5264,"A Plus Global Coal, PT","Jl Kedungmundu Raya No 100, Semarang, Jawa Tengah",,www.aplusglobalcoal.com,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
5265,"A&k Door Indonesia, PT","Jl. M.h. Thamrin 57 Permata Plaza 11th 1107, Jakarta Pusat, DKI Jakarta",0267646640,,Doors & Their Frames & Thresholds Of Wood,Doors & their frames & thresholds of wood
5266,"A&one Precision Enginering, PT","Jl. Lot Sd-62, Bie Lobam- P.bintan, Bintan, Kepulauan Riau",,,Other Mounting ; Oth Than Of A Kind Suitable For S,Other mounting ; oth than of a kind suitable for s
5267,"A. A, Ud.","Jl. Medan-b, Gampong Jalan, Idi Rayeuk 24454, Aceh Timur, Nanggroe Aceh Darussalam",064621128,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D
Ginger, Neither Crushed Nor Ground","Areca nuts, whether/not shelled/peeled, fresh or d
Ginger, Neither Crushed Nor Ground"
5268,"A. Schulman Plastics, PT","Desa Ngerong Km. 39 Gempol, Pasuruan, Gorontalo",0343854238,www.aschulman.com,"Polypropylene In Granule Form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule","Polypropylene in granule form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule"
5269,"A. Surya Sejahtera Abadi, CV","Jl Mayjen Sungkono Rt 02 Rw 02, Malang, Jawa Timur",,,Oth Manufactured Tobacco For The Manufacture Of Ci,Oth manufactured tobacco for the manufacture of ci
5270,"A.n. Jaya, CV","Jl. Ikan Mungisng V/09, Surabaya, Jawa Timur",0313281118,,"Other Fish, Not Marine Fish, Excl.fillets, Livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby","Other fish, not marine fish, excl.fillets, livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby"
5271,"A.w Faber-castell Indonesia, PT","Jl. Raya Narogong Pangkalan Ib Bantargebang, Bekasi, Jawa Barat",0218250752,www.faber-castell.co.id,"Crayons & Oth Pencils With Lead Encased In A Rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated","Crayons & oth pencils with lead encased in a rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated"
5272,A9,"Jl. Wisata Bahari No. 1 Km. 31 Rt. 002/ Rw. 002 Kawal, Bintan, Kepulauan Riau",,,"Other Marine Fish Excl.fillets, Livers And Roes, F","Other marine fish excl.fillets, livers and roes, f"
5273,"Aarti Jaya, PT","Jl. Inhoftank Komplek .jati Permai Ruko No.56, Bandung, Jawa Barat",0225232002,www.aartijaya.com,"Mens/boys Trousers, Breeches&shorts Of Oth Texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,","Mens/boys trousers, breeches&shorts of oth texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,"
5274,"Aasmaa Tradexindo, PT","Harapan Indah 2, Ruko Aralia Blok. Hy-43 No.15, Bekasi, Jawa Barat",02129283794,,"Black Tea (fermented) & Partly Permented  Tea, Oth
Gum Damar
Ginger, Neither Crushed Nor Ground","Black tea (fermented) & partly permented  tea, oth
Gum Damar
Ginger, Neither Crushed Nor Ground"
5275,"Ab Brother, CV","Jl. Flamboyan Gg.renggali No.2 Rt.07 Rw.02 Catur Tunggal Kec.depok, Sleman, D.I. Yogyakarta",02744632785,,"Leather Further Prepared After Tanning/ Crusting,","Leather further prepared after tanning/ crusting,"
5276,"Abacus Kencana Industries, PT","Jl. Imam Bonjol Km. 48,bekasi, Bekasi, Jawa Barat",02189106980,www.abacus.co.id,Other Control Panel,Other control panel
5277,Abad Jepara,"Banjaran Rt 001 Rw 001, Jepara, Jawa Tengah",,,"Seat Of Cane,osier Or Similar Material
Oth Wooden Furniture,oth Than Fume Cupboard
Furniture,of Kind Used In Parks","Seat of cane,osier or similar material
Oth Wooden Furniture,oth Than Fume Cupboard
Furniture,of Kind Used In Parks"
5278,"Abadi Adimulia, PT","Jl. Rungkut Industri 1/14, Surabaya, Jawa Timur",0318439486,www.abadiadimulia.com,"Stoppers, Lids, Caps And Other Closures
Other Carboys, Bottles, Flasks & Similar  Article","Stoppers, lids, caps and other closures
Other Carboys, Bottles, Flasks & Similar  Article"
5279,Abadi Asia Pasific,"Jl. Halimun No35,rt008/002, Jakarta Selatan, DKI Jakarta",,,"Sea Cucumbers (stichopus Japonicus, Holothurloldea","Sea cucumbers (Stichopus japonicus, Holothurloldea"
5280,"Abadi Barindo Autotech, PT","Jl. Raya Purwosari No.1 Km.61, Pasuruan, Gorontalo",0343613707,,"Non Woven Of Oth M-m-f,weight=<150g/m2
Oth Made Up Articls, Not Umbrella Covers
Seats Of A Kind Used For Motor Vehicles Oth Than","Non woven of oth m-m-f,weight=<150g/m2
Oth Made Up Articls, Not Umbrella Covers
Seats Of A Kind Used For Motor Vehicles Oth Than"
5281,"Abadi Cahaya Prima, PT","Jl. Tawakal Xi No.1., Jakarta Barat, DKI Jakarta",0215669601,,"Inedible Mixture/preparations Of Animal/ Vegetable
Ground-nut,soya-bean, Palm/coconut Oil
Inedible Mixtures/preparations Of Oil Palm","Inedible mixture/preparations of animal/ vegetable
Ground-nut,soya-bean, Palm/coconut Oil
Inedible Mixtures/preparations Of Oil Palm"
5282,"Abadi Garmindo, PT","Jl. Cireundeu Raya No.49 Rt.005/006,tangerang Selatan, Tangerang Selatan, Banten",0217442598,ptag.co.id,"Males Shirts Of Cotton, Printed By Traditional Ba
Oth Male Garmnt Of 5602/03;5903/06/07 For Protect","Males shirts of cotton, printed by traditional ba
Oth Male Garmnt Of 5602/03;5903/06/07 For Protect"
5283,"Abadi Indorona, PT","Jl. Meruya Ilir Intercon Plaza Blok E/9 Rt.001/009, Jakarta Barat, DKI Jakarta",0215872904,www.veneerabadi.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar","Other furniture of cane, osier, bamboo or similar"
5284,"Abadi Makmur Ocean, PT","Jl. Samudera No.3 Pudi P.p.s., Kendari, Sulawesi Tenggara",04013195159,abadimakmurocean.com,"Skipjack Or Stripe-bellied Bonito, Excl. Fillets,
Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen","Skipjack or stripe-bellied bonito, excl. fillets,
Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen"
5285,"Abadi Modern Terbaik 21, PT","Jl. Ra Kosasih No.51, Sukabumi, Jawa Barat",02666247494,,"Bulbs,tubers,tuberous Roots, Corms, Crowns & Rhizo
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Ceramic Articles Of Porcelain/ China","Bulbs,tubers,tuberous roots, corms, crowns & rhizo
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Ceramic Articles Of Porcelain/ China"
5286,"Abadi Permai, PT","Jl. Riau No. 1 - G, Medan, Sumatera Utara",06177876918,,"Leather Further Prepared After Tanning/ Crusting,
Oth Plants&parts Of Plants, Not For Pharmacy, Not","Leather further prepared after tanning/ crusting,
Oth Plants&parts Of Plants, Not For Pharmacy, Not"
5287,"Abadi Rukun Mandiri, CV","Jl. Kalimas Baru 29 Blok B-4 Rt.001 Rw.001 Perak Utara Pabean Cantian, Surabaya, Jawa Timur",0313282902,,"Oth Vegetable Prodcts Not Used Primarily In Tannin
Ginger, Neither Crushed Nor Ground
Textile Fibres Of Coconut (coir), Raw","Oth vegetable prodcts not used primarily in tannin
Ginger, Neither Crushed Nor Ground
Textile Fibres Of Coconut (coir), Raw"
5288,"Abadi Sentosa Gemilang, PT","Gedung Bulutangkis Vc. Jl. Asia Afrikagelora, Tanah Abang, Jakarta Pusat, DKI Jakarta",,,"Sports Footwear Not Fitted With Spikes/ Wrstling/w
Oth Footwear With Outer Sole Of Leather, Not
Badminton Or Similar Rackets, Whether/ Not Strung","Sports footwear not fitted with spikes/ wrstling/w
Oth Footwear With Outer Sole Of Leather, Not
Badminton Or Similar Rackets, Whether/ Not Strung"
5289,Abadikokoh Insani,"Jl. Otto Iskandardinata Raya No.19, Jakarta Timur, DKI Jakarta",,,"Oth Non-aerated Beverage Ready For Immediate Consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or","Oth non-aerated beverage ready for immediate consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or"
5290,"Abadinusa Usahasemesta, PT","Jl. Raden Saleh No. 45g, Cikini, Jakarta Pusat, DKI Jakarta",0213101826,www.abadinusa.co.id,"Oth Instruments&app Oth Than Exposure Meters,elect","Oth instruments&app oth than exposure meters,elect"
5291,"Abaisiat Raya, PT","Jl. Hos Cokroaminoto No.88 C, Padang, Sumatera Barat",075121228,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
5292,"Abb Sakti Industri, PT","Jl. Jend.sudirman Kav.10-11 Mid Plaza I Lt.10, Jakarta Selatan, DKI Jakarta",02125515566,,"Oth Board For Elect. Control For Voltage > 1000 Vo
Oth Part Of Electric Switch,socket&plug, <= 1000v
Oth Mach For Assembling Cpu Daughter Board In","Oth board for elect. control for voltage > 1000 vo
Oth Part Of Electric Switch,socket&plug, <= 1000v
Oth Mach For Assembling Cpu Daughter Board In"
5293,"Abbaliving Indonesia, CV","Jl. Sutan Syahrir Rt 001 Rw 007 Kel. Setabelan Kec. Banjarsari, Surakarta, Jawa Tengah",02717939996,abbaliving.com,Other Worked Mother-of Pearl/tortoise- Shell & Art,Other worked mother-of pearl/tortoise- shell & art
5294,"Abbott Indonesia, PT","Jl. Gatot Subroto Kav.38 Jamsostek Tower 23rd Flr, North Tower, Jakarta Selatan, DKI Jakarta",02127587889,abbott.co.id,"Oth Medicament Cont Vitamin (oth Than A, B,c) Or O
Oth Medicaments Cont Erythromycin/derive ,oth For","Oth medicament cont vitamin (oth than A, B,C) or o
Oth Medicaments Cont Erythromycin/derive ,oth For"
5295,"Abc President Indonesia, PT","Rukan Artha Gading Niaga Blok A No.32-34, Jakarta Utara, DKI Jakarta",0214535877,www.abcpresident.com,"Uncooked Pasta, Not Stuffed/otherwise Prepared, No
Oth Pasta, Oth Instant Noodles
Oth Mixed Condiments And Mixed Seasonings,","Uncooked pasta, not stuffed/otherwise prepared, no
Oth Pasta, Oth Instant Noodles
Oth Mixed Condiments And Mixed Seasonings,"
5296,Abd Sejahtera,"Ki Gede Mayung Blok Iii Rt/rw 001/003,kabupaten, Cirebon Cirebon, Jawa Barat",0231242574,,"Basketwork, Wickerwork & Other Articles,  Of Veget
Seat Of Rattan
Bedroom, Dining Room Or Living Room Sets Of Rattan","Basketwork, wickerwork & other articles,  of veget
Seat Of Rattan
Bedroom, Dining Room Or Living Room Sets Of Rattan"
5297,"Abdalta Indonesia, CV","Jl. Antasan Kecil Barat Rt.028 Rw.006 No.153 Pasar Lama, Banjarmasin, Kalimantan Selatan",05113357822,,"Oth Plants&parts Of Plants, Not For Pharmacy, Not","Oth plants&parts of plants, not for pharmacy, not"
5298,"Abdhilah Jaya Sentosa, PT","Jl. Muteran Iv/23-a, Surabaya, Jawa Timur",,,"Gracilaria Lichenoides,fresh,chilled, Frozen,dried","Gracilaria lichenoides,fresh,chilled, frozen,dried"
5299,"Abdi Andalan Abadi Jaya, PT","Jl. Kh. A. Dahlan No. 16 Pahoman, Bandar Lampung, Lampung",0721256535,,"Oth Than Wood Charcoal(including Shell  Or Nut Cha
Ginger, Neither Crushed Nor Ground","Oth than wood charcoal(including shell  or nut cha
Ginger, Neither Crushed Nor Ground"
5300,"Abdi Bayumurni Abadi, PT","Jl. Peta Utara 3 No.48a Pegadungan, Kalideres, Jakarta Barat, DKI Jakarta",02154373594,,Oth Parts Of Goods Of Subheading 8421.21.11/8421.2,Oth parts of goods of subheading 8421.21.11/8421.2
5301,"(hhbk) Indo Incent Product (iip), PT","Jl. Husein Hamzah No 6, Mempawah, Kalimantan Barat",05617905452,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
5302,"3m Indonesia Importama, PT","Perkantoran Hijau Arkadia Tower F Lt. 9 Jl. Letjen. Tb. Simatupang Kav.8, Jakarta Selatan, DKI Jakarta",,www.3M.com,"Self-adhesive Plate,sheet,film,foil,tape &strip,wi
Self-adhesive Plate,sheet,film,foil,tape
Natural/artificial Abrasive Powder/grain On A","Self-adhesive plate,sheet,film,foil,tape &strip,wi
Self-adhesive Plate,sheet,film,foil,tape
Natural/artificial Abrasive Powder/grain On A"
5303,"3m Indonesia, PT","Jl. Jend Sudirman Kav.25 Plaza Dm Lt.5 Karet-setia Budi, Jakarta Selatan, DKI Jakarta",02178832172,www.3m.com,"Wadding Of Cotton M-m-f Of Oth Wrapped Cigarette T
Self-adhesive Plate,sheet,film,foil,tape","Wadding of cotton m-m-f of oth wrapped cigarette t
Self-adhesive Plate,sheet,film,foil,tape"
5304,7seven,"Jl. Lingkar Pecangaan Rt 010 Rw 002, Jepara, Jawa Tengah",02917510011,,"Oth Wooden Furniture,oth Than Fume Cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material","Oth wooden furniture,oth than fume cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material"
5305,"8 Jaya, Tk.","Terminal Kefa, Belu, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti
Other Toys Or Parts
Refri-frez,fitt With Separate External","Females blouses/shirts/shirt blouses of oth texti
Other Toys Or Parts
Refri-frez,fitt With Separate External"
5306,"9 Jaya, Tk.","Terminal - Kefa Ttu, Timor Tengah Utara, Nusa Tenggara Timur",,,"Sparkling Mineral Waters And Aerated Waters, Flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,","Sparkling mineral waters and aerated waters, flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,"
5307,"A & A Enterprise Resources, CV","Jl. Teuku Umar 2 Rt 001 Rw.003 Kemayoran, Jakarta Pusat, DKI Jakarta",,,"Oth Pasta, Oth Instant Noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps","Oth pasta, oth instant noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps"
5308,"A & One Precision Engineering, PT","Lot Sd-62, Bie Lobam, Pulau Bintan, Bintan, Kepulauan Riau",0770696190,www.a-oneprecision.com,"Other Mounting ; Oth Than Of A Kind Suitable For S
Hasps
Oth Base Metal Mountings, Fitting & Similar","Other mounting ; oth than of a kind suitable for s
Hasps
Oth Base Metal Mountings, Fitting & Similar"
5309,"A & P Industry Indonesia, PT","Jl. Jababeka Vi Blk J No.5a Kaw.industri Jababeka Cikarang Utara, Bekasi, Jawa Barat",02189836134,,Oth Parts & Acces Suitable For Machines Other Head,Oth parts & acces suitable for machines other head
5310,A Amin Furniture,"Ds. Mambak Rt.03/04, Jepara, Jawa Tengah",02914270220,www.aminfurniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar","Oth wooden furniture,oth than fume cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar"
5311,"A Class, CV","Jl. Parang Parung Ii No. I Rt. 03 / Vi Sondokan, Surakarta, Jawa Tengah",0271735092,www.aclass-furniture.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar
Oth Wooden Furniture,oth Than Fume Cupboard","Other furniture of cane, osier, bamboo or similar
Oth Wooden Furniture,oth Than Fume Cupboard"
5312,"A F R A, CV","Btn Surya Graha Lestari, Blok N/2, Desa. Dauh Peken, Tabanan, Bali",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
5313,"A L A A, PT","Jl. Dharmahusada Mas Blok Ad 09, Surabaya, Jawa Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce","Oth sugar confectionery,not cont.cocoa, oth soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce"
5314,"A Plus Global Coal, PT","Jl Kedungmundu Raya No 100, Semarang, Jawa Tengah",,www.aplusglobalcoal.com,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
5315,"A&k Door Indonesia, PT","Jl. M.h. Thamrin 57 Permata Plaza 11th 1107, Jakarta Pusat, DKI Jakarta",0267646640,,Doors & Their Frames & Thresholds Of Wood,Doors & their frames & thresholds of wood
5316,"A&one Precision Enginering, PT","Jl. Lot Sd-62, Bie Lobam- P.bintan, Bintan, Kepulauan Riau",,,Other Mounting ; Oth Than Of A Kind Suitable For S,Other mounting ; oth than of a kind suitable for s
5317,"A. A, Ud.","Jl. Medan-b, Gampong Jalan, Idi Rayeuk 24454, Aceh Timur, Nanggroe Aceh Darussalam",064621128,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D
Ginger, Neither Crushed Nor Ground","Areca nuts, whether/not shelled/peeled, fresh or d
Ginger, Neither Crushed Nor Ground"
5318,"A. Schulman Plastics, PT","Desa Ngerong Km. 39 Gempol, Pasuruan, Gorontalo",0343854238,www.aschulman.com,"Polypropylene In Granule Form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule","Polypropylene in granule form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule"
5319,"A. Surya Sejahtera Abadi, CV","Jl Mayjen Sungkono Rt 02 Rw 02, Malang, Jawa Timur",,,Oth Manufactured Tobacco For The Manufacture Of Ci,Oth manufactured tobacco for the manufacture of ci
5320,"A.n. Jaya, CV","Jl. Ikan Mungisng V/09, Surabaya, Jawa Timur",0313281118,,"Other Fish, Not Marine Fish, Excl.fillets, Livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby","Other fish, not marine fish, excl.fillets, livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby"
